"";"IDU";"PMID";"study.name";"author_name";"type_Obsv_0_trial_1";"mono0_multi1";"published";"number_follow_up";"d_adm_dis";"rehosp_30_all.cause_all";"death_30_all";"rehosp_365";"death_365";"number_ttt";"all_gender_male";"TIME";"EF_all";"HF_all_n";"all_HT_n";"all_DM_n";"all_CAD.IHD_n";"all_COPD_n";"all_Afib_n";"all_ACE_ARB_adm_n";"all_ACE_ARB_adm_rate";"A_all_diuretic_n";"A_all_diuretic_rate";"A_all_digoxin_n";"A_all_digoxin_rate";"A_all_B_n";"A_all_B_rate";"SBP_all";"AGE_all";"HR_all";"all_gender_male_rate";"country1";"country2";"country3";"country4";"country5";"country6";"country7";"country8";"country9";"country10";"country11";"country12";"country13";"country14";"country15";"country16";"country17";"country18";"country19";"country20";"country21";"country22";"country23";"country24";"country25";"country26";"country27";"country28";"country29";"country30";"country31";"continent";"multicontinent"
"11";"28801153_Fernandez_Gasso";28801153;"Trends, causes and timing of 30-day readmissions after hospitalization for heart failure : 11-year population-based analysis with linked data";"Fernandez_Gasso";0;1;2017;24654;"1";4938;NA;NA;NA;27158;11678;2008;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;76,9;NA;0,430002209293762;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"12";"26729609_Kwan";26729609;"Descriptive epidemiology and short-term outcome of heart failure hospitalisation in rural Haiti";"Kwan";0;0;2016;274;"1";18;NA;NA;NA;311;125;2014;NA;NA;147,72;25,81;NA;NA;18,66;NA;NA;NA;NA;NA;NA;NA;NA;142;52,5;108;0,401929260450161;"Canada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"13";"11194290_Tsuchihashi";11194290;"Clinical Characteristics and Prognosis of Hospitalized Patients With Congestive Heart Failure";"Tsuchihashi";0;1;2000;230;"1";NA;NA;81;19;230;138;1999;NA;87,4;94,3;57,5;62,1;NA;92;NA;NA;NA;NA;NA;NA;NA;NA;NA;69;NA;0,6;"Finland";"Switzerland";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";"No"
"14";"15320569_Tarantini";15320569;"Pre-discharge initiation of beta-blocker therapy in elderly patients hospitalized for acute decompensation of chronic heart failure : an effective strategy for the omplementation of beta-blockade in heart failure";"Tarantini";0;1;2004;164;"1";NA;NA;49;29;164;100;2000;30;NA;124,64;50,84;NA;49,2;42,64;83,68;0,510243902439024;72;0,439024390243902;44,28;0,27;NA;NA;125;76;78;0,609756097560976;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"15";"9855384_Wang";9855384;"Mortality of the Institutionalized Old-Old Hospitalized With Congestive Heart Failure";"Wang";0;0;1998;231;"0";NA;NA;NA;146;231;61;1992;NA;115,5;87,78;25,41;122,43;27,72;73,92;NA;NA;NA;NA;NA;NA;NA;NA;NA;89;NA;0,264069264069264;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"16";"25168191_Scrutinio";25168191;"Renal Dysfunction and Accuracy of N-Terminal Pro-B-Type Natriuretic Peptide in Predicting Mortality for Hospitalized Patients With Heart Failure";"Scrutinio";0;1;2014;908;NA;NA;NA;NA;248;908;698;2009;29;NA;451,28;286,93;302,36;214,29;315,98;NA;NA;NA;NA;NA;NA;NA;NA;111;66;NA;0,768722466960352;"Canada";"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";"No"
"17";"25520409_AlHabib";25520409;"Long-Term Mortality Rates in Acute De Novo Versus Acute-on-Chronic Heart Failure: From the Heart Function Assessment Registry Trial in Saudi Arabia";"AlHabib";0;1;2015;2610;"0";NA;212;NA;509;2610;1717;2010;NA;NA;1842,31;1673,41;1392,16;NA;409,39;NA;NA;NA;NA;NA;NA;NA;NA;128,721072796935;61,3716475095785;88,8088122605364;0,657854406130268;"Spain";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"18";"25537794_Vorilhon";25537794;"Heart failure prognosis and management in over-80-year-old patients: data from a French national observational retrospective cohort";"Vorilhon";0;1;2015;1825;"1";NA;NA;332;NA;1825;873;2010;NA;NA;1172,52;516,17;638,75;226,43;724,83;NA;NA;NA;NA;NA;NA;NA;NA;NA;77,2660821917808;NA;0,478356164383562;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"19";"25777937_Ohlmeier";25777937;"Incidence, prevalence and 1-year all-cause mortality of heart failure in Germany: a study based on electronic healthcare data of more than six million persons";"Ohlmeier";0;1;2015;3395;"0";NA;NA;NA;781;3395;2387;2005;NA;NA;1863,86;746,9;824,98;533,02;831,78;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,703092783505155;"France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"20";"25588532_Sherazi";25588532;"Predictors of mortality in patients hospitalized for congestive heart failure with left ventricular ejection fraction >40%";"Sherazi";0;0;2015;191;"0";NA;NA;NA;48;191;76;2003;54,6;NA;140,19;83,47;94,54;NA;59,4;109,06;0,570994764397906;171,33;0,897015706806283;33,04;0,172984293193717;129,69;0,679005235602094;138;70,2;NA;0,397905759162304;"Spain";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"21";"25642610_Ahmedani";25642610;"Psychiatric comorbidity on 30-day readmissions for heart failure, myocardial infarction, and pneumonia";"Ahmedani";0;1;2016;89406;"1";17948;NA;NA;NA;NA;NA;2010;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Finland";"France";"Germany";"Italy";"Netherlands";"Sweden";"Switzerland";"UK";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";"No"
"22";"25643435_Polat";25643435;"The prognostic significance of serum albumin in patients with acute decompensated systolic heart failure";"Polat";0;0;2017;135;"0";NA;NA;NA;40;135;73;2012;27,6074074074074;NA;83,29;51,54;70,73;NA;45,56;NA;NA;NA;NA;NA;NA;NA;NA;121,733333333333;66,7851851851852;94,4814814814815;0,540740740740741;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"23";"27488755_Avci";27488755;"Relation between serum sodium levels and clinical outcomes in Turkish patients hospitalized for heart failure: a multi-center retrospective observational study";"Avci";0;1;2015;487;"0";NA;NA;NA;24;487;341;2012;30;NA;NA;64,77;299,02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;128;65;82;0,700205338809035;"Germany";"Russia";"Serbia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";"No"
"24";"28420549_Cho";28420549;"Predictors of Left Ventricular Functional Recovery and Their Impact on Clinical Outcomes in Patients With Newly Diagnosed Dilated Cardiomyopathy and Heart Failure";"Cho";0;0;2017;175;"1";NA;NA;NA;30;175;110;2010;NA;NA;57,97;45,01;NA;NA;42;NA;NA;NA;NA;NA;NA;NA;NA;123,983428571429;58,5868571428571;86,344;0,628571428571429;"Finland";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"25";"28420862_Ostrega";28420862;"linical characteristics, treatment, and prognosis of patients with ischemic and nonischemic acute severe heart failure";"Ostrega";0;0;2017;112;"1";NA;NA;NA;35;112;84;2012;23,7321428571429;NA;57,72;46,71;NA;8,35;46,74;NA;NA;NA;NA;NA;NA;NA;NA;108,276785714286;58,4026785714286;87,2767857142857;0,75;"Argentina";"Belgium";"Brazil";"Bulgaria";"Canada";"Czech.Republic";"France";"Germany";"Italy";"Lithuania";"Netherlands";"Norway";"Poland";"Romania";"Russia";"Spain";"Sweden";"Switzerland";"UK";"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"South_America";"Yes"
"26";"28457798_Tabit";28457798;"Cardiology Consultation in the Emergency Department Reduces Re-hospitalizations for Low-Socioeconomic Patients with Acute Decompensated Heart Failure";"Tabit";1;0;2017;784;"1";147;NA;NA;NA;784;416;2015;36,65;NA;603,68;235,2;305,76;NA;235,2;364,56;0,465;533,12;0,68;NA;NA;462,56;0,59;116,5;64,95;81;0,530612244897959;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"27";"28648393_Arora";28648393;"Etiologies, Trends, and Predictors of 30-Day Readmissions in Patients With Diastolic Heart Failure";"Arora";0;1;2017;192394;"1";40927;NA;NA;NA;192394;73033;2014;NA;NA;154857,93;83383,56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,379601234965747;"UK";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"28";"28697926_Leon_Gonzalez";28697926;"Health Literacy and Health Outcomes in Very Old Patients With Heart Failure";"Leon_Gonzalez";0;1;2017;556;"1";NA;NA;NA;189;556;210;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;85,6;NA;0,377697841726619;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"29";"27468707_Murtaugh";27468707;"Reducing Readmissions among Heart Failure Patients Discharged to Home Health Care: Effectiveness of Early and Intensive Nursing Services and Early Physician Follow-Up";"Murtaugh";0;1;2017;98730;"1";20536;843;NA;NA;98730;39097;2010;NA;NA;NA;32679,63;NA;33568,2;55190,07;NA;NA;NA;NA;NA;NA;NA;NA;NA;79,9;NA;0,395999189709308;"Australia";"Austria";"Belgium";"Canada";"Czech.Republic";"Denmark";"France";"Germany";"Greece";"Hungary";"Israel";"Italy";"Netherlands";"Norway";"Poland";"Switzerland";"UK";"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oceania";"Yes"
"30";"27590209_Claret";27590209;"Characteristics and outcomes for acute heart failure in elderly patients
presenting to the ED";"Claret";0;1;2016;1147;"0";NA;42;NA;NA;1658;763;2010;NA;1210,34;1160,6;663,2;547,14;364,76;646,62;729,52;0,44;1226,92;0,74;215,54;0,13;729,52;0,44;141;77,1;84,2;0,460193003618818;"France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"31";"28501521_Sud";28501521;"Associations Between Short or Long Length of Stay and 30-Day Readmission and Mortality in Hospitalized Patients With Heart Failure";"Sud";0;1;2017;58230;"1";NA;2083;NA;NA;58230;29057;2008;NA;37674,81;50776,56;26436,42;20613,42;8501,58;13916,97;35578,53;0,611;30745,44;0,528;9666,18;0,166;28765,62;0,494;NA;NA;NA;0,499003949854027;"Canada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"32";"28501527_Ziaeian";28501527;"Race/Ethnic Differences in Outcomes Among Hospitalized Medicare Patients With Heart Failure and Preserved Ejection Fraction";"Ziaeian";0;1;2017;51543;"1";11422;3026;34508;17061;53065;17915;2010;60;NA;43136,54;20785,56;23619,23;NA;23412,28;15617,03;0,294300009422406;32236,99;0,607500047112032;NA;NA;29148,6;0,549299915198342;144;82;79;0,337604824272119;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"33";"26678634_Cooper";26678634;"Differences in health care use and outcomes
by the timing of in-hospital worsening
heart failure";"Cooper";0;1;2015;62908;"1";12994;6184;38259;22671;62908;27023;2004;NA;NA;10878,52;25520,42;37713,42;18870,05;22246,17;30980,04;0,492465823106759;42881,19;0,681649233801742;NA;NA;31049,42;0,493568703503529;145,545003815095;79,5686637629554;86,9766611559738;0,429563807464869;"Greece";"Poland";"Romania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";"No"
"34";"27114058_Davison";27114058;"Patient journey after admission for acute heart failure: length of stay, 30-day readmission and 90-day mortality";"Davison";1;1;2016;1849;"1";372;45;NA;NA;1849;1243;2008;NA;1796,7;1473,65;843,14;1272,11;NA;983,67;NA;NA;NA;NA;NA;NA;NA;NA;124,8;69,9;80,1;0,672255273120606;"UK";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"35";"25188234_Fisher";25188234;"Impact of COPD on the Mortality and Treatment of Patients Hospitalized With Acute Decompensated Heart Failure";"Fisher";0;1;2015;9748;"1";NA;752;NA;3379;9748;4285;2000;45,5335248256052;2835,34;6693,12;3805,22;NA;NA;3731,26;NA;NA;NA;NA;NA;NA;NA;NA;142,651046368486;76,1768567911366;89,1284776364382;0,439577349199836;"France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
"36";"25210973_Ogah";25210973;"short-term outcomes after hospital discharge in patients admitted with heart failure in abeokuta, Nigeria:
data from the abeokuta heart Failure registry";"Ogah";0;0;2014;285;"1";NA;12;NA;NA;285;150;2010;NA;NA;231,99;37,05;NA;19,95;NA;NA;NA;NA;NA;NA;NA;NA;NA;131,9;60;95,9;0,526315789473684;"Japan";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Asia";NA
"37";"25200338_Fleming";25200338;"Derivation and Validation of a 30-Day Heart Failure Readmission Model";"Fleming";0;0;2014;3413;"1";847;NA;NA;NA;3413;1766;2009;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;74,1489012598887;NA;0,517433343099912;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"38";"24687697_Whittaker";24687697;"Patient and process factors associated with all-cause 30-day readmission among patients with heart failure";"Whittaker";0;0;2015;239;"1";50;NA;NA;NA;239;148;2010;NA;NA;117,11;87,95;90,1;43,02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;59;NA;0,619246861924686;"Canada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"39";"24662470_Tuppin";24662470;"Two-year outcome of patients after a first hospitalization for heart failure: A national observational study";"Tuppin";0;1;2014;69958;"0";3218;7555;11053;20428;69958;36550;2009;NA;NA;NA;NA;NA;NA;NA;39229,89;0,560763458074845;41955,95;0,599730552617285;NA;NA;27606,29;0,394612338831871;NA;78,3;NA;0,522456330941422;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"40";"24655702_Peacock";24655702;"Clevidipine in Acute Heart Failure: Results of the PRONTO Study";"Peacock";1;1;2014;104;"0";17;NA;NA;NA;85;42;2010;44,8694117647059;NA;82,04;44;33,99;19,01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;61,0352941176471;NA;0,494117647058824;"USA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"North_America";NA
"41";"25576679_Berra";25576679;"Outcome in Acute Heart Failure: Prognostic Value of Acute Kidney Injury and Worsening Renal Function";"Berra";0;0;2015;646;"0";NA;NA;366;192;646;356;2008;NA;NA;NA;198,32;279,72;105,3;306,85;392,12;0,606996904024768;379,2;0,586996904024768;NA;NA;262,28;0,406006191950464;NA;80;NA;0,551083591331269;"Australia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oceania";NA
"42";"24736837_Ogunneye";24736837;"The Association Between Skilled Nursing Facility Care Quality and 30-Day Readmission Rates After Hospitalization for Heart Failure";"Ogunneye";0;0;2014;603;"1";121;NA;NA;NA;603;221;2010;NA;NA;190,03;131,91;106,99;47,16;115,19;367,94;0,610182421227197;585,86;0,971575456053068;137,14;0,22742951907131;493,87;0,819021558872305;NA;84;NA;0,366500829187396;"Armenia";"Austria";"Belgium";"Bulgaria";"Croatia";"Czech.Republic";"Egypt";"Estonia";"Finland";"France";"Georgia";"Germany";"Greece";"Hungary";"Israel";"Italy";"Lithuania";"Moldova";"Montenegro";"Netherlands";"Poland";"Portugal";"Romania";"Russia";"Serbia";"Slovenia";"Spain";"Switzerland";"Tunisia";"Turkey";"Ukraine";"Europe";"Yes"
"43";"25554369_Bhatia";25554369;"Beta-Blocker Use and 30-Day All-Cause Readmission in Medicare Beneficiaries with Systolic Heart Failure";"Bhatia";0;1;2014;760;"1";163;27;NA;NA;760;422;2000;27;497,8;547,2;364,8;NA;220,4;174,8;NA;NA;NA;NA;NA;NA;NA;NA;150;73;97;0,555263157894737;"Argentina";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"South_America";NA
"44";"26767401_Llibre";26767401;"The real-life value of ST2 monitoring during heart failure decompensation: impact on long-term readmission and mortality";"Llibre";0;0;2016;182;"1";NA;NA;NA;23;182;118;2013;42,3;99,92;NA;NA;64,06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;69,2;NA;0,648351648351648;"Australia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oceania";NA
"45";"27761738_Omersa";27761738;"Mortality and readmissions in heart failure: an analysis of 36,824 elderly patients from the Slovenian national hospitalization database";"Omersa";0;1;2016;29510;"1";3541;1564;9561;7348;36824;NA;2010;NA;NA;22094,4;8616,82;7953,98;2909,1;13845,82;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Israel";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Asia";NA
"46";"27592085_Davis";27592085;"All-Payer Analysis of Heart Failure Hospitalization 30-Day Readmission: Comorbidities Matter";"Davis";0;1;2017;547068;"1";117073;NA;NA;NA;547068;269705;2009;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;74,7;NA;0,493000870092932;"France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Europe";NA
