PMID;study.name;author_name;type_Obsv_0_trial_1;mono0_multi1;start;end;published;number_follow_up;number_1_follow_up;number_2_follow_up;number_3_follow_up;number_4_follow_up;number_5_follow_up;number_6_follow_up;d_adm_dis;rehosp_30_all.cause_all;rehosp_30_all.cause_all_.;rehosp_30_all.cause_1;rehosp_30_all.cause_1_.;rehosp_30_all.cause_2;rehosp_30_all.cause_2_.;rehosp_30_all.cause_3;rehosp_30_all.cause_3_.;rehosp_30_all.cause_4;rehosp_30_all.cause_4_.;rehosp_30_all.cause_5;rehosp_30_all.cause_5_.;death_30_all;death_30_all_.;death_30_1;death_30_1_.;death_30_2;death_30_2_.;death_30_3;death_30_3_.;death_30_4;death_30_4_.;death_30_5;death_30_5_.;death_30_6;death_30_6_.;rehosp_365;rehosp_365_.;rehosp_365_1;rehosp_365_1_.;rehosp_365_2;rehosp_365_2_.;rehosp_365_3;rehosp_365_3_.;rehosp_365_4;rehosp_365_4_.;death_365;death_365_.;death_365_1;death_365_1_.;death_365_2;death_365_2_.;death_365_3;death_365_3_.;death_365_4;death_365_4_.;death_365_5;death_365_5_.;death_365_6;death_365_6_.;number_ttt;number_1_ttt;number_2_ttt;number_3_ttt;number_4_ttt;number_5_ttt;number_6_ttt;A_all_ACE;A_ACE_1;A_ACE_2;A_ACE_3;A_ACE_4;A_ACE_5;A_ACE_6;A_all_ARB;A_ARB_1;A_ARB_2;A_ARB_3;A_ARB_4;A_ARB_5;A_all_ACE_ARB;A_ACE_ARB_1;A_ACE_ARB_2;A_ACE_ARB_3;A_ACE_ARB_4;A_ACE_ARB_5;A_all_B;A_B_1;A_B_2;A_B_3;A_B_4;A_B_5;A_B_6;A_all_diuretic;A_diuretic_1;A_diuretic_2;A_diuretic_3;A_diuretic_4;A_diuretic_5;A_all_digoxin;A_digoxin_1;A_digoxin_2;A_digoxin_3;A_digoxin_4;A_digoxin_5;all_median_age;median_age_1;median_age_2;median_age_3;median_age_4;all_mean_age_years;mean_age_1;mean_age_2;mean_age_3;mean_age_4;mean_age_5;mean_age_6;all_gender_male;all_gender_male_.;gender_male_1;gender_male_1_.;gender_male_2;gender_male_2_.;gender_male_3;gender_male_3_.;gender_male_4;gender_male_4_.;gender_male_5;gender_male_5_.;gender_male_6;gender_male_6_.;HF_all;HF_1;HF_2;HF_3;HF_4;HF_5;HF_6;all_HT;HT_1;HT_2;HT_3;HT_4;HT_5;HT_6;all_DM;DM_1;DM_2;DM_3;DM_4;DM_5;DM_6;all_COPD;COPD_1;COPD_2;COPD_3;COPD_4;COPD_5;COPD_6;all_Afib;Afib_1;Afib_2;Afib_3;Afib_4;Afib_5;Afib_6;all_CAD.IHD;CAD.IHD_1;CAD.IHD_2;CAD.IHD_3;CAD.IHD_4;CAD.IHD_5;CAD.IHD_6;all_median_SBP;median_SBP_1;median_SBP_2;median_SBP_3;median_SBP_4;median_SBP_5;median_SBP_6;all_mean_SBP;mean_SBP_1;mean_SBP_2;mean_SBP_3;mean_SBP_4;mean_SBP_5;mean_SBP_6;all_median_HR;median_HR_1;median_HR_2;median_HR_3;median_HR_4;median_HR_5;median_HR_6;all_mean_HR;mean_HR_1;mean_HR_2;mean_HR_3;mean_HR_4;mean_HR_5;mean_HR_6;all_median_EF;median_EF_1;median_EF_2;median_EF_3;median_EF_4;all_mean_EF;mean_EF_1;mean_EF_2;mean_EF_3;mean_EF_4;mean_EF_5;mean_EF_6;;;;;;
18156618;Prognosis of heart failure with preserved ejection fraction: a 5 year prospective population-based study.;Tribouilloy;0;1;2000;2000;2008;662;368;294;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22;NA;26;NA;NA;NA;NA;NA;NA;NA;NA;662;368;294;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;74;75.8;71;NA;NA;NA;NA;NA;NA;NA;47;NA;62;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;73.599999999999994;48;NA;NA;NA;NA;NA;26.1;25.5;NA;NA;NA;NA;NA;20.399999999999999;20.7;NA;NA;NA;NA;NA;35.9;30.6;NA;NA;NA;NA;NA;9.1999999999999993;17.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;63;35;NA;NA;NA;NA;;;;;;
18280788;Acute heart failure in the emergency department: short and long-term outcomes of elderly patients with heart failure.;Ezekowitz_(a);0;1;1998;2001;2008;3627;NA;NA;NA;NA;NA;NA;0;NA;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3627;NA;NA;NA;NA;NA;NA;68.7;NA;NA;NA;NA;NA;NA;17.7;NA;NA;NA;NA;NA;79.900000000000006;NA;NA;NA;NA;NA;50.4;NA;NA;NA;NA;NA;NA;86;NA;NA;NA;NA;NA;42.2;NA;NA;NA;NA;NA;79.099999999999994;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20.6;NA;NA;NA;NA;NA;NA;37;NA;NA;NA;NA;NA;NA;22.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.2;NA;NA;NA;NA;NA;NA;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
18280788;Acute heart failure in the emergency department: short and long-term outcomes of elderly patients with heart failure.;Ezekowitz_(b);0;1;1998;2001;2008;6788;NA;NA;NA;NA;NA;NA;0;NA;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;NA;NA;NA;NA;NA;NA;NA;NA;NA;34.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6788;NA;NA;NA;NA;NA;NA;67;NA;NA;NA;NA;NA;NA;17.3;NA;NA;NA;NA;NA;78;NA;NA;NA;NA;NA;49.1;NA;NA;NA;NA;NA;NA;81.2;NA;NA;NA;NA;NA;44.4;NA;NA;NA;NA;NA;79.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23.1;NA;NA;NA;NA;NA;NA;36.799999999999997;NA;NA;NA;NA;NA;NA;24.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26.8;NA;NA;NA;NA;NA;NA;31.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
18304693;Acutely Decompensated Heart Failure in a County Emergency Department: A Double-Blind Randomized Controlled Comparison of Nesiritide Versus Placebo Treatment;Miller;1;0;2004;2005;2008;101;53;48;NA;NA;NA;NA;0;NA;NA;NA;41.5;NA;39.6;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;101;53;48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55.8;55.6;NA;NA;NA;NA;NA;66;NA;66;NA;66;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;81.099999999999994;91.5;NA;NA;NA;NA;NA;45.3;53.2;NA;NA;NA;NA;NA;11.3;12.8;NA;NA;NA;NA;NA;5.7;12.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;145.19999999999999;154.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;92.3;90.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
18534276;Hemodynamic, echocardiographic, and neurohormonal effects of istaroxime, a novel intravenous inotropic and lusitropic agent: a randomized controlled trial in patients hospitalized with heart failure.;Gheorghiade;1;1;2006;2007;2008;120;89;31;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;120;29;30;30;31;NA;NA;NA;100;87;97;84;NA;NA;NA;7;7;13;10;NA;NA;NA;NA;NA;NA;NA;NA;100;93;100;100;NA;NA;NA;96;93;73;97;NA;NA;10;0;7;13;NA;NA;NA;NA;NA;NA;55;NA;NA;NA;NA;NA;NA;NA;87.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31;10;13;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;59;60;70;68;NA;NA;NA;NA;NA;NA;NA;NA;NA;116;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;73;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27;NA;NA;NA;NA;NA;NA;;;;;;
18614781;Noninvasive Ventilation in Acute Cardiogenic Pulmonary Edema;Gray;1;1;2003;2007;2008;1069;702;367;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15.2;NA;16.399999999999999;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1069;346;356;367;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;77.7;78;77;79;NA;NA;NA;NA;43.1;NA;45;NA;43;NA;42;NA;NA;NA;NA;NA;NA;NA;42;47;45;NA;NA;NA;NA;55;57;56;NA;NA;NA;NA;30;33;30;NA;NA;NA;NA;15;21;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;64;60;64;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;162;161;161;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;113;112;114;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
19233107;RESICARD: East Paris network for the management of heart failure: Absence of effect on mortality and rehospitalization in patients with severe heart failure admitted following severe decompensation;Assyag_(a);1;1;2001;2002;2009;211;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;21.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;211;NA;NA;NA;NA;NA;NA;42.6;NA;NA;NA;NA;NA;NA;8.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26.1;NA;NA;NA;NA;NA;NA;54;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;73.8;NA;NA;NA;NA;NA;NA;NA;56.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
19233107;RESICARD: East Paris network for the management of heart failure: Absence of effect on mortality and rehospitalization in patients with severe heart failure admitted following severe decompensation;Assyag_(b);1;1;2002;2003;2009;218;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;18.600000000000001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;218;NA;NA;NA;NA;NA;NA;50.5;NA;NA;NA;NA;NA;NA;7.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35.799999999999997;NA;NA;NA;NA;NA;NA;57.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;72.099999999999994;NA;NA;NA;NA;NA;NA;NA;59.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
19398077;Clinical Characteristics of Acute Decompensated Heart Failure With Rapid Onset of Symptoms;Konishi;0;0;2006;2007;2009;130;78;52;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13;NA;33;NA;NA;NA;NA;NA;NA;NA;5;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;130;78;52;NA;NA;NA;NA;NA;10;13;NA;NA;NA;NA;NA;23;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;38;NA;NA;NA;NA;NA;45;67;NA;NA;NA;NA;10;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;73;72;NA;NA;NA;NA;NA;NA;NA;58;NA;62;NA;NA;NA;NA;NA;NA;NA;NA;NA;31;54;NA;NA;NA;NA;NA;74;71;NA;NA;NA;NA;NA;33;31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23;23;NA;NA;NA;NA;NA;33;33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;170;121;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;101;90;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45;36;NA;NA;NA;NA;;;;;;
19522957;Outcomes associated with nesiritide administration for acute decompensated heart failure in the emergency department observation unit: a single center experience;Styron;0;0;2002;2004;2009;595;196;399;NA;NA;NA;NA;0;NA;NA;NA;14.3;NA;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;595;196;399;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;69.2;69.7;NA;NA;NA;NA;NA;NA;NA;60.7;NA;48.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;73.3;73.5;NA;NA;NA;NA;NA;74.400000000000006;78;NA;NA;NA;NA;NA;46.4;42.4;NA;NA;NA;NA;NA;9.3000000000000007;14.8;NA;NA;NA;NA;NA;21.2;26.2;NA;NA;NA;NA;NA;46.1;51.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;145.19999999999999;144.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;82.3;83.2;NA;NA;NA;NA;NA;30.9;36.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
19536386;Practice patterns and outcomes in patients presenting to the emergency department with acute heart failure;Richter;0;1;2002;2003;2009;448;NA;NA;NA;NA;NA;NA;0;NA;19.83;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;448;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;70;NA;NA;NA;NA;NA;37;NA;NA;NA;NA;NA;NA;58;NA;NA;NA;NA;NA;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75.3;NA;NA;NA;NA;NA;NA;NA;54.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;63;NA;NA;NA;NA;NA;NA;55;NA;NA;NA;NA;NA;NA;34;NA;NA;NA;NA;NA;NA;28;NA;NA;NA;NA;NA;NA;28;NA;NA;NA;NA;NA;NA;39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
19627289;Comparison of Acute Electrocardiographic Presentation in Patients With Diastolic vs Systolic Heart Failure;Zareba;0;0;2005;2005;2009;241;88;153;NA;NA;NA;NA;0;NA;NA;NA;19;NA;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;15;NA;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;241;88;153;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;73.2;66.400000000000006;NA;NA;NA;NA;NA;NA;NA;57;NA;63;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;144;134;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;58.3;24.6;NA;NA;NA;NA;;;;;;
19808351;"Rapid Emergency Department Heart Failure Outpatients
Trial (REDHOT II)";Singer;1;1;2004;2006;2009;472;240;232;NA;NA;NA;NA;0;NA;NA;NA;20.2;NA;23.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.7;NA;5.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;472;240;232;NA;NA;NA;NA;NA;66;66.3;NA;NA;NA;NA;NA;6.8;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;71.2;73.400000000000006;NA;NA;NA;NA;NA;93.2;90.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;63.2;65.7;NA;NA;NA;NA;NA;NA;NA;51.1;NA;49.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;151;145;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;88;88;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
20071655;Heart failure: incidence, case fatality, and hospitalization rates in Western Australia between 1990 and 2005.;Teng_(a);0;1;1990;1993;2010;5189;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5189;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;32.700000000000003;NA;NA;NA;NA;NA;NA;18.5;NA;NA;NA;NA;NA;NA;23;NA;NA;NA;NA;NA;NA;18.2;NA;NA;NA;NA;NA;NA;33.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
20071655;Heart failure: incidence, case fatality, and hospitalization rates in Western Australia between 1990 and 2005.;Teng_(b);0;1;1994;1997;2010;4716;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4716;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;51.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45.8;NA;NA;NA;NA;NA;NA;22.9;NA;NA;NA;NA;NA;NA;28.5;NA;NA;NA;NA;NA;NA;27.1;NA;NA;NA;NA;NA;NA;35.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
20071655;Heart failure: incidence, case fatality, and hospitalization rates in Western Australia between 1990 and 2005.;Teng_(c);0;1;1998;2001;2010;4625;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.8000000000000007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;77;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;49.6;NA;NA;NA;NA;NA;NA;25.9;NA;NA;NA;NA;NA;NA;27.6;NA;NA;NA;NA;NA;NA;30.8;NA;NA;NA;NA;NA;NA;31.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
20071655;Heart failure: incidence, case fatality, and hospitalization rates in Western Australia between 1990 and 2005.;Teng_(d);0;1;2002;2005;2010;4812;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.1999999999999993;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4812;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;77;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;52.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48.4;NA;NA;NA;NA;NA;NA;26.9;NA;NA;NA;NA;NA;NA;23.7;NA;NA;NA;NA;NA;NA;34.1;NA;NA;NA;NA;NA;NA;28.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;
